rolleID,gender
1,m
2,m
3,m
4,m
5,m
6,m
7,m
8,f
9,m
10,m
12,m
13,f
14,m
15,m
16,f
20,m
21,m
22,f
23,m
25,m
26,f
28,m
29,f
30,m
31,m
32,m
33,m
34,m
37,m
38,m
39,m
40,m
41,m
42,f
43,m
44,m
45,m
46,m
47,m
48,f
49,f
50,m
52,m
53,f
54,m
55,m
56,m
57,m
58,m
60,m
61,m
62,m
63,m
64,f
66,f
67,m
72,m
73,m
76,f
79,m
81,m
85,m
87,m
88,m
90,m
91,f
92,f
93,f
94,f
95,m
96,m
97,m
98,m
99,f
100,m
104,m
105,m
108,m
109,f
111,m
112,f
113,m
114,m
117,m
118,m
120,f
121,m
122,f
123,m
125,m
126,f
127,m
128,m
131,m
132,f
133,m
134,m
135,m
136,m
137,m
138,m
139,m
140,m
141,m
142,m
143,f
144,m
145,f
148,m
151,m
152,m
156,f
157,m
159,f
162,m
163,m
165,m
167,m
168,m
170,m
171,m
173,f
174,m
175,m
177,m
178,m
180,m
182,m
188,f
192,f
194,m
195,m
201,f
203,f
205,m
207,f
208,m
212,m
213,m
215,m
217,f
219,m
221,m
222,m
224,m
226,m
227,m
228,m
229,m
230,m
231,m
235,m
238,m
239,m
240,f
244,f
248,f
249,f
250,f
251,m
252,m
253,m
254,m
255,f
256,m
257,f
260,m
261,m
262,m
263,m
264,m
266,f
269,m
272,f
274,m
275,m
276,m
277,m
278,m
286,f
287,m
289,m
291,f
292,m
293,m
296,f
298,f
300,m
301,m
302,m
303,f
307,m
315,m
316,f
317,m
320,f
322,f
323,m
324,m
325,f
329,m
333,f
334,f
335,f
338,f
346,m
347,f
348,f
349,m
350,m
351,f
352,m
353,m
354,f
355,m
356,f
358,m
359,f
360,f
361,m
362,f
365,m
366,m
367,f
368,m
370,m
371,m
372,m
373,m
376,m
377,m
378,m
379,m
380,m
381,m
385,m
393,m
394,f
395,f
398,m
402,m
403,m
406,m
411,m
412,m
415,m
417,m
418,m
422,m
424,f
425,m
427,m
428,m
429,m
431,m
432,m
433,f
434,m
436,m
437,f
438,f
440,m
442,m
443,m
444,f
445,f
446,f
447,f
448,m
449,f
454,m
457,m
458,m
459,m
460,m
462,f
464,m
465,f
468,f
469,f
470,f
471,f
472,m
473,m
474,f
475,f
476,m
477,f
478,m
479,m
480,m
481,f
482,f
486,f
487,m
488,f
489,f
491,m
492,m
493,m
494,m
495,f
496,m
497,m
498,m
499,m
500,f
501,m
502,f
